Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
1512,6394,2251,343,2,1995,5,2631,142,51.5,42.33333333,46,65,Female
1524,8780,2020,1219,9,2001,4,5236,37,39.125,29.33333333,58,34,Male
155,4176,942,787,7,1968,1,3079,376,42.5,37,46,37,Male
1073,9855,3440,2623,12,2002,2,5342,19,35.22222222,21.5,33,23,Male
1317,7688,3835,3149,8,1988,4,2536,40,45.25,45,36,39,Male
1492,5872,1491,994,11,1997,4,2889,327,45.90909091,36.5,55,41,Male
1500,5322,1191,287,6,1980,3,2631,269,47,24.5,61,25,Male
349,6098,2692,2472,9,1988,2,3057,53,43,31,48,31,Male
857,8851,4042,3476,13,2001,2,3952,89,47.41666667,28.5,33,27,Male
2619,9626,1604,869,9,1973,6,5403,565,26.5,22,20,26,Male
759,12705,4922,4163,12,2002,1,7024,48,50.55555556,39,54,39,Male
4001,12995,7661,3942,5,1977,3,1333,152,41.6,39.33333333,42,31,Male
1141,9925,3484,2920,6,1997,3,5300,1,50.6,36.5,62,32,Male
1544,5323,2298,1306,5,1997,4,1481,102,41.8,39.5,34,32,Male
0,2081,940,508,4,1999,1,1141,351,48,29,29,57,Female
2417,11729,4998,4273,8,1990,6,4314,107,42,57.2,39,85,Male
832,4498,719,200,11,1984,3,2947,99,38.85714286,36.66666667,30,23,Male
3133,11252,3955,1965,7,1995,5,4164,131,32.28571429,34,30,29,Male
846,3918,2616,1770,4,1992,1,456,4,55,28,53,28,Male
1729,11361,4179,2930,9,2000,3,5453,3,36.71428571,39.33333333,40,29,Male
2680,7344,2372,521,6,1992,2,2292,247,41.5,31.5,48,34,Male
1188,7018,3113,2036,5,1992,2,2717,341,52,31,48,34,Male
0,2856,1136,343,4,1989,1,1720,550,53,36,36,38,Female
1605,10592,6394,5475,7,2000,2,2593,64,29.57142857,32,26,40,Male
519,3142,1203,896,4,1996,2,1420,124,50.66666667,34,34,34,Male
2492,12199,3545,2439,16,1994,5,6162,3,43.16666667,43,43,40,Male
2173,8715,4441,3401,5,2003,4,2101,95,49.2,39.66666667,32,37,Male
404,4862,2155,1751,6,1989,1,2303,99,50.83333333,36,45,36,Male
3167,11295,2695,1770,13,2006,9,5433,29,43,33.2,28,32,Male
3511,9141,3842,2185,8,1993,6,1788,27,44.2,40,38,35,Male
693,12844,4393,565,11,1992,2,7758,255,42,33.5,29,37,Female
2844,13781,3291,1699,16,1990,4,7646,32,48.14285714,40.75,34,33,Male
2468,6641,3285,1268,4,2010,4,888,73,41.33333333,52.33333333,41,41,Male
1024,5683,1556,684,11,1995,2,3103,151,44.2,29,41,29,Male
1154,7346,2873,2323,10,1985,3,3319,24,47.33333333,27,38,27,Male
1711,7266,2862,1493,7,1999,3,2693,28,40.71428571,37,35,31,Male
1412,5675,2388,976,8,1996,1,1875,138,44.375,26,42,26,Male
3214,12798,6782,4436,6,2003,3,2802,350,53.2,36.33333333,41,34,Male
695,7380,1776,190,9,2008,3,4909,73,50.8,46,51,47,Female
719,5675,4034,3471,4,2000,2,922,377,42.5,37,44,37,Male
3657,9653,3018,1361,4,2004,5,2978,56,43.5,34,38,41,Female
1953,9531,4279,3350,11,2004,3,3299,44,32,41.66666667,23,52,Male
733,12860,3444,1848,16,2008,4,8683,43,42.86666667,36.5,33,40,Female
2689,9016,2368,1267,9,1999,7,3959,98,31.875,41.71428571,24,24,Male
605,8112,6706,6101,5,1994,1,801,2,51.25,33,48,33,Male
470,4555,1182,712,9,2002,1,2903,59,46,38,55,38,Male
945,7729,3860,3372,10,2005,2,2924,102,39.66666667,37,41,45,Male
0,11547,4870,3383,11,1997,1,6677,191,48,35,35,28,Female
1003,5927,983,483,10,2003,3,3941,49,37.28571429,25.66666667,44,31,Male
823,1870,641,24,2,1996,2,406,35,41.5,21,34,21,Male
1810,8963,2799,1421,6,2002,2,4354,12,45.33333333,48.5,33,43,Male
972,2662,1311,694,3,2008,4,379,5,40,28,40,28,Male
1521,10750,3424,2964,13,2008,6,5805,34,41.75,28.75,40,26,Male
1070,5345,1158,770,9,1989,3,3117,60,44.44444444,39.66666667,32,27,Male
773,5183,2753,2218,3,2007,2,1657,101,34.33333333,41,21,40,Male
1525,13269,3778,2462,12,1997,2,7966,79,44.5,28,57,28,Male
1467,5916,1335,158,8,1981,2,3114,18,53.5,29,27,29,Male
2080,12303,6707,5497,11,1991,3,3516,72,38,33.5,32,30,Male
1261,5596,1777,1070,9,1984,2,2558,70,47.66666667,46.5,25,39,Male
1388,4318,1938,1399,4,1990,5,992,116,29.25,35.8,42,22,Female
4113,7732,1529,101,6,2008,5,2090,122,33.5,51.66666667,22,32,Male
612,6562,2482,1029,9,2007,3,3468,20,45.44444444,37.33333333,38,43,Female
885,4596,1076,748,8,1996,4,2635,49,52,33.33333333,45,31,Male
269,2656,1658,1509,4,1999,2,729,95,45.66666667,31.5,37,23,Male
1433,4507,1905,1066,6,1997,4,1169,212,40,30.5,33,41,Male
2152,6348,2626,1788,3,1986,4,1570,164,31.33333333,22.5,24,19,Male
262,7223,2108,1846,13,1997,1,4853,120,49.54545455,22,42,22,Male
1144,10362,5813,4870,3,1999,2,3405,63,39.33333333,31.5,30,33,Male
436,2750,472,1,6,2000,2,1842,86,31.4,28,24,22,Female
802,5747,4237,3574,5,1985,2,708,114,44.2,27,42,25,Male
5777,20433,8468,3049,10,2002,2,6188,27,35.16666667,23,24,23,Male
1549,8989,5446,4495,5,1994,3,1994,686,43.4,32,38,10,Male
2432,5370,1019,68,7,1989,5,1919,31,26.5,20.5,62,20,Male
1686,12554,2611,925,13,2009,1,8257,174,42.91666667,29,29,29,Male
1432,8192,2656,1132,9,1997,3,4104,91,34.44444444,47.66666667,35,39,Female
409,2066,506,267,5,2009,2,1151,23,32.4,37,32,44,Male
458,5309,2293,1835,9,1997,1,2558,23,46.14285714,27,25,27,Male
1419,8553,1851,560,12,2002,2,5283,116,42.9,30,53,30,Male
1835,13304,5901,4063,7,2003,5,5568,85,47.5,49,37,38,Female
2246,6224,1285,444,8,1990,4,2693,85,46.71428571,46.5,46,31,Male
1684,6805,3454,2439,9,1997,5,1667,53,43.57142857,41.33333333,31,27,Male
2727,8802,5219,2757,4,1993,3,856,148,34.25,43,43,35,Male
1552,4650,947,241,6,1995,5,2151,30,55.25,38.2,67,29,Male
686,7565,2087,1401,9,1998,1,4792,36,44.11111111,28,29,28,Male
142,3398,1894,1752,6,1990,1,1362,97,35,37,38,37,Male
868,10686,4102,3701,14,2004,4,5716,25,31.25,27.33333333,32,26,Male
2440,16708,3724,2077,15,2002,5,10544,392,37.06666667,34.4,13,12,Male
1582,7907,1768,870,11,2001,3,4557,488,31.7,40.33333333,12,11,Male
3213,14717,3197,1108,15,2004,5,8307,348,36.2,44.8,15,14,Male
1098,4960,738,376,13,1995,4,3124,134,42.2,33.66666667,55,31,Male
1999,8611,2432,1230,6,2008,2,4180,91,56.4,32,58,36,Male
1544,5092,1496,741,4,1992,5,2052,26,35.66666667,27.66666667,29,31,Female
654,8450,2135,1481,11,2000,1,5661,20,39.57142857,29,42,29,Male
1440,8240,3903,3081,7,1997,5,2897,2,35.66666667,31.5,35,29,Male
2252,7577,1343,541,8,2003,3,3982,18,49.625,43.33333333,32,31,Male
1008,6992,3563,2964,12,2004,3,2421,32,42.2,36,40,36,Male
895,5745,1854,503,5,2004,3,2996,365,46.2,42,46,60,Female
849,5680,1015,502,12,1996,2,3816,602,42.75,35,44,38,Male
972,4279,1769,797,7,1981,1,1538,9,44.16666667,30,39,30,Male
1564,5036,2301,737,5,1984,1,1171,466,43.6,31,42,31,Male
3668,8624,3659,1164,6,2003,6,1297,50,47,38.5,42,34,Male
692,7061,4364,4134,10,2009,4,2005,21,41,43.5,48,32,Male
0,3497,686,29,9,2003,1,2811,152,41.14285714,28,28,34,Female
2229,8599,3511,1542,7,1990,3,2859,53,35.33333333,42.33333333,32,31,Male
1597,7514,2992,1654,9,1991,2,2925,2,54.22222222,33.5,43,34,Male
2898,10170,5317,3592,6,1982,4,1955,7,51,33,39,37,Male
744,6598,2535,1918,9,2007,2,3319,60,37.28571429,45,40,35,Male
1120,9373,2369,1497,11,1997,2,5884,122,43,47.5,30,44,Male
1103,14205,6335,5844,7,1991,3,6767,122,40.57142857,24.33333333,36,34,Male
1101,8821,3099,2666,8,2009,4,4621,85,49.16666667,37,42,35,Male
2468,9950,1712,250,9,2010,3,5770,44,42,35,56,27,Male
785,4597,1058,547,6,1989,2,2754,34,44,35.5,42,30,Male
3012,6042,1743,99,6,2003,4,1287,28,45.5,33.33333333,44,28,Male
0,5856,2199,316,7,1996,1,3657,65,48.14285714,40,40,48,Female
145,3708,653,508,11,2003,1,2910,543,41.90909091,36,64,36,Male
1212,8255,2194,1337,11,2001,2,4849,482,43.90909091,28,62,32,Male
206,4796,844,638,13,2002,1,3746,509,42.92307692,33,31,33,Male
1267,7203,1648,983,8,1998,2,4288,128,43,29,31,42,Male
859,7719,5534,4970,6,1992,3,1326,101,41.16666667,34.33333333,38,34,Male
1316,11126,3686,2689,12,2003,3,6124,49,37.1,33,33,33,Male
2015,6843,2530,1510,5,2004,3,2298,109,52.25,20.5,50,10,Male
4008,10501,4253,1776,9,1992,4,2240,8,49.875,36.25,55,38,Male
444,6294,1464,1167,8,1998,2,4386,105,38.8,38,24,38,Male
1463,12260,3904,2828,9,2004,3,6893,92,49.625,39.33333333,50,37,Male
1310,9072,4058,3356,10,1986,3,3704,20,35.375,29,33,28,Male
1583,5375,1767,763,7,1994,3,2025,249,38.5,27,32,22,Male
1084,4737,2123,1247,3,1999,2,1530,292,35,49,38,32,Male
319,1959,755,436,5,2008,1,885,49,35.33333333,25,37,25,Male
661,6718,2471,1810,8,1997,1,3586,473,43.42857143,39,51,39,Male
781,8285,4205,3567,7,1997,2,3299,60,38.4,35,36,24,Male
241,4514,1491,1250,9,1978,1,2782,130,34.28571429,24,29,24,Male
1062,5893,1590,629,6,2000,2,3241,98,39.66666667,37,36,35,Male
1490,5908,2365,1614,7,2001,4,2053,8,38.6,38.5,33,37,Male
1222,9871,3505,3081,6,2007,4,5144,36,48,40.75,52,20,Male
0,6165,1699,89,9,1999,1,4466,265,40,29,29,31,Female
1646,6677,2020,478,5,1991,3,3011,123,33.4,22,11,39,Female
1402,9615,4905,2591,4,1997,4,3308,240,46.33333333,47.25,30,34,Female
1177,11352,4624,3771,9,1994,3,5551,104,35.6,27.66666667,29,21,Male
807,10024,3381,2902,17,1992,2,5836,5,36.82352941,35,18,51,Male
1186,4117,1942,756,5,2007,1,989,22,54.25,25,43,25,Male
1117,5051,1746,1046,6,1984,3,2188,68,33.6,29.5,20,21,Female
4037,10732,3410,939,3,2009,4,3285,48,32.66666667,40.75,36,38,Female
167,5026,1321,119,6,2008,2,3538,32,36.66666667,36,24,40,Female
841,5409,2964,2371,6,2001,2,1604,72,46,40,33,40,Male
616,3306,1001,204,3,2002,3,1689,142,40.66666667,32.66666667,40,31,Female
1858,5762,3046,2496,4,2005,4,858,153,41.5,27.5,38,19,Male
152,6720,3070,2918,9,2000,1,3498,182,42.83333333,35,44,35,Male
1259,5955,1689,734,8,2001,3,3007,305,39.66666667,27,29,28,Male
1510,10584,4337,2242,6,1986,6,4737,97,39.66666667,39.66666667,32,22,Female
2139,11649,4853,3653,12,1993,6,4657,65,39.375,42.66666667,38,26,Male
576,4006,856,554,6,1992,2,2574,35,23.75,29,30,24,Male
437,7163,3007,488,3,1990,2,3719,366,38,25.5,23,41,Female
110,9984,2103,1993,11,1987,1,7771,68,40.77777778,35,35,35,Male
2545,9484,4832,3831,3,2009,5,2107,190,44.33333333,54.75,45,65,Female
2809,8735,1797,608,8,1960,5,4129,545,41.83333333,39,29,31,Male
2036,8063,2261,519,10,1995,2,3766,32,39.5,23,34,34,Male
2305,6955,3696,2691,5,2002,6,954,26,39,33,36,35,Male
2094,7636,2596,1580,7,1994,4,2946,224,36.14285714,29.33333333,40,24,Male
553,5333,1908,401,4,2006,3,2872,74,51.25,57,61,37,Female
440,3193,917,477,7,1985,1,1836,367,48.66666667,27,39,27,Male
1297,7709,2498,1811,6,1985,3,3914,31,29.33333333,30.66666667,26,23,Male
2168,14591,5470,3302,10,2000,1,6953,28,42,33,41,33,Male
540,4830,1213,673,16,2000,1,3077,72,42.25,30,36,30,Male
1168,3554,1167,407,5,1975,3,1219,594,31,27.33333333,29,29,Male
301,7277,1714,1532,14,1996,2,5262,263,43.46153846,26.5,32,28,Male
1777,13957,5179,4085,14,1991,3,7001,343,43.75,46,36,33,Male
585,8247,2107,1522,16,2008,1,5555,6,37,36,60,36,Male
2245,6165,1564,171,8,2013,3,2356,1,37.57142857,39.33333333,21,17,Male
1060,5188,2983,2090,4,1998,2,1145,31,35,25,18,30,Male
1721,4410,1600,48,5,1997,2,1089,116,44.5,32.5,38,34,Male
654,7304,2332,214,5,2001,4,4318,139,36,21,20,31,Female
763,5842,3244,2796,6,2002,3,1835,1,35.33333333,33,43,38,Male
1556,13704,8189,7338,12,1983,2,3959,1,46.4,25,43,25,Male
839,9231,3754,3022,8,2008,2,4638,40,38.83333333,43,41,43,Male
1084,3112,501,158,8,1994,5,1527,16,32.66666667,43,54,26,Male
2996,9629,3145,1359,7,2010,4,3488,34,32.83333333,30,28,28,Male
923,5282,2330,1407,4,2002,1,2029,341,29.75,46,46,46,Male
503,11680,3844,1328,11,1991,3,7333,270,49.66666667,26.5,29,54,Female
2395,8378,3999,3200,4,1992,6,1984,293,45.66666667,45.83333333,37,39,Female
2051,9895,1437,609,15,2006,4,6407,47,41.6,41,50,25,Male
1236,4501,1718,471,2,1993,4,1547,24,46.5,37,32,34,Female
1972,8681,2608,1521,10,1999,4,4101,24,47.1,42,70,28,Male
8159,15824,6099,1125,2,2003,5,1566,180,52.5,44.75,66,57,Male
951,6235,1369,152,9,1999,7,3915,89,40.25,35.33333333,38,30,Female
5367,14266,4314,148,4,2004,7,4585,58,23.5,34.42857143,38,38,Female
257,6054,2988,2835,8,2004,2,2809,6,44.14285714,24,45,24,Male
359,4891,915,556,8,1983,1,3617,853,41.375,27,32,27,Male
1273,5454,1477,809,10,2002,4,2704,465,53.6,42,31,21,Male
682,7039,2014,1543,12,2009,3,4343,299,62.16666667,48.33333333,78,77,Male
636,9047,2485,1849,13,1977,1,5926,1798,42.91666667,21,26,21,Male
2299,8694,2505,1235,10,1997,5,3890,103,37.66666667,38.75,29,26,Male
859,9460,2704,2248,13,2000,3,5897,11,51.3,35,50,35,Male
216,6143,1598,1382,13,1973,1,4329,786,47.5,41,48,41,Male
0,6456,2421,1148,7,1984,1,4035,74,43.6,33,33,35,Female
3153,10513,3868,1773,8,1999,6,3492,36,33,27,41,34,Male
363,8611,1427,1064,8,2007,1,6821,68,46.85714286,28,67,28,Male
258,3288,1343,1085,5,1982,1,1687,97,39.8,28,33,28,Male
136,12141,3216,3080,17,2000,1,8789,55,52.63636364,46,45,46,Male
4093,14243,4819,1247,7,1993,3,5331,8,30.71428571,24.66666667,50,39,Male
632,12452,5603,5249,7,1987,3,6217,373,33.75,44.5,42,26,Male
612,8611,2700,2088,9,1992,1,5299,47,48.2,32,33,32,Male
2686,11665,5732,3808,5,1996,2,3247,106,50,42,41,42,Male
1809,19960,6903,5094,11,1987,1,11248,56,44.63636364,39,43,39,Male
523,5880,2498,2249,7,1995,3,2859,61,44.14285714,30.66666667,39,40,Male
3073,9776,1749,541,15,2000,4,4954,200,42.46153846,32,56,31,Male
402,4928,2133,1731,4,1998,1,2393,233,37.5,34,36,34,Male
475,4576,1760,1556,6,2000,3,2341,153,36.66666667,62.5,52,47,Male
725,6431,2009,1676,10,1992,3,3697,211,42.625,39.5,62,40,Male
1804,8627,1913,97,9,2005,4,4910,95,52.28571429,40.5,24,45,Female
2613,9268,4356,2737,5,2001,3,2299,155,41.4,32.33333333,39,27,Male
1473,6993,2135,1086,6,1998,3,3385,18,38.2,36.66666667,32,26,Male
291,3044,1003,845,6,2004,2,1750,64,38.5,31,32,27,Male
1606,5508,2807,1707,4,2002,2,1095,61,37,30,24,18,Male
3564,9917,4135,1577,6,2008,5,2218,163,43.75,31.33333333,29,33,Male
0,1468,589,17,3,2005,1,879,317,23,11,11,23,Female
2757,11504,2891,432,12,2009,2,5856,125,44.44444444,34.5,36,31,Male
173,8731,2807,2634,15,1996,1,5751,20,39.66666667,37,47,37,Male
1849,5723,1875,356,6,1985,2,1999,160,42,32,43,28,Male
1326,9092,3060,1709,7,1939,3,4706,839,47.16666667,36.33333333,17,35,Female
2016,8603,2260,1004,10,2009,3,4327,208,35.5,52.5,41,32,Male
998,7054,3714,2716,7,2002,1,2342,211,40.4,27,35,27,Male
2560,11278,2302,1286,13,2009,5,6416,192,47.09090909,28.75,43,37,Male
1206,16612,4718,1372,8,1999,3,10688,65,31.28571429,23.33333333,18,20,Female
3148,19324,4212,3423,22,2013,5,11964,60,42.38461538,40.25,36,31,Male
3806,15092,6728,4760,7,2009,6,4558,74,33.57142857,29,22,37,Male
704,11927,5387,4857,6,2011,2,5836,40,44,34,28,34,Male
3438,22962,8570,6684,12,1982,7,10954,224,32.91666667,25.8,41,30,Male
5422,18184,8938,4858,8,2009,4,3824,37,38.33333333,30.25,28,29,Male
5854,37778,16148,10294,18,1992,1,15776,295,38.375,30,30,30,Male
3006,11538,2900,1376,6,1997,4,5632,94,60.33333333,37,67,33,Male
176,15400,4766,704,15,1989,2,10458,118,39.91666667,40.5,31,39,Female
1212,4779,1573,1173,10,1994,4,1994,150,48.88888889,40.25,30,52,Female
2481,5209,1635,129,4,1991,4,1093,235,41.5,41.5,51,40,Male
3222,15279,6010,4022,8,2011,3,6047,68,45.85714286,28,41,28,Male
2272,19304,9438,8248,8,1997,3,7594,11,40.375,36.33333333,56,48,Male
774,5435,2005,1231,5,1992,1,2656,454,49.75,22,41,22,Male
2830,6646,1888,4,4,1979,3,1928,6,44.5,38.66666667,46,30,Male
0,7646,1846,432,12,1992,1,5800,116,40.55555556,43,43,41,Female
1566,12406,4910,3200,9,1986,6,5930,199,32.625,28.5,37,29,Female
938,15090,7706,4582,8,2009,5,6446,39,44.75,46.25,45,49,Female
6766,23124,5574,2974,11,2000,8,10784,52,28.66666667,24.14285714,32,43,Male
850,14472,7898,7374,8,2009,2,5724,16,41,36.5,60,20,Male
4754,14636,5576,2826,6,1999,2,4306,222,39.16666667,29,40,41,Male
5507,21605,6043,3745,8,2013,5,10055,160,43.875,42.5,39,23,Male
911,10575,3156,2406,11,2001,2,6508,20,36,39,25,25,Male
4844,14890,3962,2966,7,1999,8,6084,174,29.28571429,23.75,19,20,Male
12002,32174,14642,6862,10,1995,8,5530,130,40.625,36,51,37,Male
3038,17000,10832,9974,7,2000,6,3130,24,36.2,28,26,26,Male
3148,18842,8078,5310,10,2003,4,7616,8,41.57142857,25.5,12,39,Male
6342,20324,7988,3592,3,2009,7,5994,14,35.66666667,32.8,24,56,Female
2292,28454,10516,8954,16,1999,5,15646,183,52.38461538,46.8,51,36,Male
1358,19390,9892,4938,7,2001,3,8140,36,31,40.66666667,32,33,Female
2848,17886,5830,3522,12,2009,3,9208,154,42.16666667,39.5,53,40,Male
1866,8013,1625,1158,8,2012,6,4522,13,38.83333333,35,40,24,Male
6461,11813,2816,349,6,2001,7,2536,6,40.16666667,34.85714286,36,39,Male
1215,10953,1707,971,19,2011,2,8031,4,39.13333333,60,44,74,Male
1710,17378,7358,5648,13,2001,1,8310,16,36.36363636,22,27,22,Male
2796,11976,5366,3250,6,1998,3,3814,168,54.4,53.5,63,40,Male
564,19904,8610,8046,15,1979,1,10730,16,37.46153846,34,39,34,Male
614,28042,11376,10894,10,1998,2,16052,16,45.22222222,31.5,59,42,Male
2198,11507,4587,3318,12,2012,3,4722,8,57.27272727,43.33333333,63,66,Male
379,6942,2301,2041,13,1998,2,4262,374,41.22222222,27,43,21,Male
440,1954,792,352,2,1992,1,722,24,46,27,34,27,Male
1661,7334,3180,1295,3,1981,4,2493,298,66,34.5,35,77,Female
7906,23766,8974,1588,8,1997,3,6886,280,42.85714286,40.66666667,60,34,Male
4380,16724,8252,4248,3,1995,3,4092,60,43.66666667,32.5,49,35,Male
1416,14730,9028,7774,7,1999,2,4286,38,40.16666667,42,40,42,Male
5962,15494,5562,2236,10,2009,4,3970,882,40.625,44.75,33,60,Male
1723,11625,2806,1432,12,2012,2,7096,680,51.33333333,34,47,28,Male
4118,15406,3014,424,22,2006,6,8274,45,39.22222222,30,43,50,Male
2784,11504,5306,2193,2,2010,7,3414,41,51,44.8,41,34,Female
2798,22642,5894,3944,13,1991,3,13950,160,40.25,36.33333333,28,29,Male
484,5888,2730,2246,5,2003,1,2674,86,37,36,45,36,Male
3694,15124,7088,6002,9,2011,7,4342,109,35.625,37.83333333,39,48,Female
2078,12490,4692,2740,6,2003,2,5720,38,40.16666667,34,49,38,Male
2094,11796,4650,3664,8,1996,5,5052,5,43.33333333,29,31,25,Male
3126,8768,2242,800,7,1997,4,3400,202,49,27,50,27,Male
922,7074,2013,1091,14,2005,1,4139,278,46.69230769,27,31,27,Male
2082,10928,3210,1242,7,1995,2,5636,368,42,31,36,28,Male
902,10334,5000,4538,9,1997,2,4432,85,40.57142857,25,43,25,Male
2502,10811,5740,3809,3,2010,3,2569,6,60,36.33333333,39,27,Male
3931,10173,2938,1007,5,1999,4,3304,39,44.4,39.66666667,33,27,Male
3332,16552,8710,6960,16,2001,5,4510,0,33.3,30.25,21,23,Male
8758,27036,9586,3698,4,1998,8,8692,42,50.75,51,44,52,Female
548,4554,1530,822,5,1993,2,2476,48,41.6,30,27,30,Female
3723,16019,3037,226,7,2011,5,9259,50,51.33333333,67.5,77,21,Female
2586,11154,5662,3076,4,1988,1,2906,243,30,28,32,28,Male
830,10197,4634,3804,8,1998,1,4733,32,48,38,49,38,Male
2682,10468,4530,1978,4,2001,2,3256,7,31.25,34,31,34,Male
5730,20784,8474,4414,8,2006,7,6580,12,43.2,36.25,58,26,Male
2313,4260,1947,598,1,2010,3,0,117,44,38,44,29,Male
3548,10974,4144,1362,6,1998,4,3282,129,41.33333333,28,25,28,Male
2064,11254,3126,1198,9,2002,2,6064,122,41.5,30,40,30,Male
2078,13086,4686,3052,8,1982,2,6322,4,43.25,22.5,40,23,Male
2548,16440,6128,2752,9,1999,3,7764,45,37,36.5,23,56,Female
2273,14812,5617,3680,9,2009,9,6922,296,46.2,44.5,45,25,Female
2500,5480,1398,100,3,2013,6,1582,6,46,27.66666667,23,19,Female
3925,10327,3607,1577,6,1996,3,2795,2,46.66666667,34,23,27,Male
7582,20292,8594,5006,8,1986,4,4116,20,48.8,42,27,19,Male
2366,9748,4444,2492,2,1993,3,2938,1,32,24,32,30,Male
1463,6708,1467,189,7,2001,2,3778,11,38,36,37,52,Male
2680,16610,4368,3712,16,1997,7,9562,50,40.85714286,34.71428571,26,27,Male
4598,18994,6732,4028,6,2010,4,7664,104,58.66666667,46.66666667,56,27,Male
4558,12346,6550,5920,3,1996,2,1238,7,50.5,36,38,35,Female
0,4432,1397,502,11,2002,1,3035,181,43.8,28,28,51,Female
1750,9756,2298,270,10,2004,4,5708,246,42,29.5,48,34,Female
1996,9760,3516,1904,8,2007,2,4248,287,48.14285714,38.5,58,51,Male
1018,13679,3990,1171,13,2009,5,8671,17,56.25,32,37,36,Female
2974,16586,4574,1600,5,1985,1,9038,93,28.2,17,26,17,Male
3234,19038,9102,7486,6,2005,3,6702,2,24,24,24,24,Male
4995,10911,4015,2702,4,2011,8,1901,185,40.5,36.28571429,38,32,Female
9556,21702,7858,16,8,1987,4,4288,113,50.4,29.75,37,29,Male
1554,14800,4646,348,4,2009,3,8600,5,43.25,45.66666667,46,52,Female
4408,13410,5468,1292,4,2008,2,3534,4,59.25,32.5,41,38,Male
1780,11161,3401,1787,11,1992,6,5980,34,31.3,27.8,23,57,Female
344,9886,4610,4266,13,1988,1,4932,107,32.71428571,25,33,25,Male
633,14333,9453,9134,6,2010,2,4247,1,43.25,40,34,40,Male
4600,17588,6188,2969,6,2010,7,6800,43,42.33333333,36.66666667,30,28,Female
3472,21587,10334,8217,10,2005,5,7781,38,47.5,54,38,46,Male
1511,12446,4001,2651,15,2011,2,6934,209,57.38461538,45,48,40,Male
1842,7279,3402,2578,4,2009,4,2035,15,41.33333333,34,40,34,Female
9604,67548,26798,19138,26,1995,9,31146,84,54.70588235,53,52,37,Male
1688,10500,4840,4115,6,2002,4,3972,245,42,36.66666667,28,28,Male
2009,7613,3004,2249,12,2000,8,2600,2,26.33333333,33.8,27,25,Male
732,12522,6734,4100,7,2012,4,5056,3,35.71428571,28.33333333,36,34,Female
4532,10958,2890,110,9,2000,2,3536,98,44,32,30,31,Male
2465,18752,8208,6652,5,2011,5,8079,40,51.2,42,35,39,Male
2432,8820,2780,1278,4,2000,2,3608,201,36,26.5,25,32,Female
758,21332,9462,9076,8,1997,3,11112,22,24.6,32,25,32,Male
6956,30626,11150,7732,8,1994,5,12520,6,24.66666667,26.33333333,25,33,Male
1872,8196,2185,630,8,1993,3,4139,176,43.125,32.5,47,31,Male
2988,10214,2080,480,6,1995,5,5146,113,28.8,30.8,19,26,Female
3248,19270,4454,576,14,2003,8,11568,137,40,39,34,31,Female
476,10244,5318,4944,13,2004,2,4450,140,40.44444444,54.5,42,69,Male
4368,17663,6064,4030,9,1994,4,7231,41,38.66666667,39.25,39,21,Male
2009,8202,2271,262,10,2011,1,3922,23,44.75,31,32,31,Male
1170,11424,5298,4128,12,2003,1,4956,17,43.7,33,35,33,Male
3662,13154,4760,1486,11,2003,2,4732,11,46.4,30.5,45,36,Male
7932,24388,8146,5750,9,1995,4,8310,64,36,41.5,46,32,Female
2623,8659,2071,195,8,2011,4,3965,0,54.14285714,62.66666667,65,74,Male
713,11249,2932,2447,11,1996,2,7604,115,33.77777778,46.5,42,36,Male
2763,14320,3360,985,15,2011,3,8197,109,43.375,30.5,43,27,Male
613,4926,2505,1892,5,2006,1,1808,36,38.25,30,39,30,Male
3360,15960,8450,6710,7,1998,2,4150,11,36,34.5,34,35,Male
